Time;delta;angVelref;Realized;AngRef
0.00538015365601;  0.000226421092151; 0.3;  188.99320736723547; 0.0226421092151; 0.3
0.0136570930481;  0.00373594802049; 0.3;  188.99320736723547; 0.350952692833; 0.0
0.0241501331329;  0.0363405852902; 0.3;  187.9097824412948; 3.26046372697; 0.0
0.0344979763031;  0.0876815679353; 0.3;  186.36955296194023; 5.13409826452; 0.0
0.0446581840515;  0.139531998038; 0.3;  184.8140400588655; 5.18504301025; 0.0
0.0553681850433;  0.188042717031; 0.3;  183.3587184890674; 4.85107189933; 0.0
0.0653851032257;  0.235676054292; 0.3;  181.92971837123184; 4.76333372612; 0.0
0.0763981342316;  0.292903985333; 0.3;  180.2128804399998; 5.72279310411; 0.0
0.0859141349792;  0.347471468542; 0.3;  180.2128804399998; 5.45674832083; 0.0
0.0964000225067;  0.409227821426; 0.3;  176.65763263316495; 6.17563528841; 0.0
0.106767177582;  0.470021884668; 0.3;  174.78092657419128; 6.07940632424; 0.0
0.116878986359;  0.533108461469; 0.3;  172.8176415017245; 6.30865768005; 0.0
0.12735915184;  0.59928002565; 0.3;  170.73845510652632; 6.6171564181; 0.0
0.137447118759;  0.66822524821; 0.3;  168.5585800934843; 6.89452225599; 0.0
0.147948980331;  0.74090641879; 0.3;  166.2392222163464; 7.26811705803; 0.0
0.158060073853;  0.813276260368; 0.3;  163.91238571477183; 7.23698415786; 0.0
0.168497085571;  0.889183931512; 0.3;  161.45076449014564; 7.59076711435; 0.0
0.178872108459;  0.96359156292; 0.3;  159.0120159501784; 7.4407631408; 0.0
0.1889731884;  1.03910299715; 0.3;  156.52254746162885; 7.55114342322; 0.0
0.199429035187;  1.11475594457; 0.3;  153.99743093256112; 7.56529474148; 0.0
0.209583997726;  1.18743711515; 0.3;  151.54674700189454; 7.26811705803; 0.0
0.220026016235;  1.26212777292; 0.3;  149.00457553492302; 7.46906577732; 0.0
0.230375051498;  1.33495045668; 0.3;  146.50478359205664; 7.28226837629; 0.0
0.240563154221;  1.40952790391; 0.3;  143.92175379904728; 7.45774472271; 0.0
0.251085042953;  1.48404874586; 0.3;  141.31251116930065; 7.45208419541; 0.0
0.261171102524;  1.55789032454; 0.3;  138.71654114099186; 7.38415786776; 0.0
0.271659135818;  1.63153378476; 0.3;  136.08815840397108; 7.3643460222; 0.0
0.281784057617;  1.70217716552; 0.3;  133.54286872375712; 7.0643380751; 0.0
0.292328119278;  1.77525457301; 0.3;  130.8841550395897; 7.30774074916; 0.0
0.302646160126;  1.84564323003; 0.3;  128.29443090967794; 7.03886570223; 0.0
0.312772035599;  1.91860742697; 0.3;  125.61335897383728; 7.29641969455; 0.0
0.32323217392;  1.99242070302; 0.3;  122.86793257876295; 7.38132760411; 0.0
0.333337068558;  2.06702645288; 0.3;  120.09356077114415; 7.46057498636; 0.0
0.343831062317;  2.14293412402; 0.3;  117.23657345679628; 7.59076711435; 0.0
0.353965044022;  2.21612474206; 0.3;  114.45826090249741; 7.31906180377; 0.0
0.364403963089;  2.29135314993; 0.3;  111.57772446241532; 7.5228407867; 0.0
0.374795198441;  2.36434564951; 0.3;  108.74460837978181; 7.29924995821; 0.0
0.384869098663;  2.43524375399; 0.3;  105.97190009591829; 7.08981044797; 0.0
0.395373106003;  2.50070775226; 0.3;  103.31476022812794; 6.5463998268; 0.0
0.405717134476;  2.56311506578; 0.3;  100.74018427382934; 6.2407313524; 0.0
0.415969133377;  2.62260720774; 0.3;  98.24107901868912; 5.94921419626; 0.0
0.426078081131;  2.68105215216; 0.3;  95.76576897708082; 5.84449444114; 0.0
0.436519145966;  2.7418462154; 0.3;  93.17730989106224; 6.07940632424; 0.0
0.446897983551;  2.80196101536; 0.3;  90.59512880809028; 6.0114799966; 0.0
0.457014083862;  2.86114182832; 0.3;  88.04176359744878; 5.91808129609; 0.0
0.467460155487;  2.91194506088; 0.3;  85.69905493698718; 5.08032325513; 0.0
0.477614164352;  2.97565429568; 0.3;  82.97287247186878; 6.37092348039; 0.0
0.488072156906;  3.04485424197; 0.3;  80.03546853377762; 6.91999462885; 0.0
0.498424053192;  3.10963897696; 0.3;  77.23629466486243; 6.47847349916; 0.0
0.508589982986;  3.17148023775; 0.3;  74.48835410514792; 6.18412607936; 0.0
0.519095182419;  3.23100068235; 0.3;  71.77903933018953; 5.95204445991; 0.0
0.529218196869;  3.29043621904; 0.3;  69.0879774719148; 5.94355366895; 0.0
0.539766073227;  3.35156991392; 0.3;  66.28823002835189; 6.11336948807; 0.0
0.549823045731;  3.40984504252; 0.3;  63.60170738808718; 5.82751285923; 0.0
0.56026506424;  3.46860131593; 0.3;  60.84585478797854; 5.87562734131; 0.0
0.570734024048;  3.5234518255; 0.3;  58.188829997730636; 5.48505095735; 0.0
0.580753087997;  3.57957595372; 0.3;  55.51877128111158; 5.61241282168; 0.0
0.591193199158;  3.63666237158; 0.3;  52.76143521714749; 5.70864178585; 0.0
0.60135102272;  3.69451296062; 0.3;  49.991054603685484; 5.78505890445; 0.0
0.611819982529;  3.75222203648; 0.3;  47.17596688302058; 5.77090758619; 0.0
0.621953010559;  3.80758199351; 0.3;  44.44846887323544; 5.53599570308; 0.0
0.632375001907;  3.86512125356; 0.3;  41.60774868482095; 5.75392600428; 0.0
0.642776966095;  3.92198125032; 0.3;  38.77209170706732; 5.68599967663; 0.0
0.652876138687;  3.97957711564; 0.3;  35.92907939624537; 5.75958653158; 0.0
0.663452148438;  4.03756921787; 0.3;  33.00380680602588; 5.79921022271; 0.0
0.673482179642;  4.09601416228; 0.3;  30.107555478477835; 5.84449444114; 0.0
0.68399810791;  4.15584593588; 0.3;  27.096857771161012; 5.98317736008; 0.0
